C,Ano,Rodada,Lugar,Arreio,Escama,Escama val.,Liso,Liso val.,,,
C1,1,Inverno,Lago,Malhadeira,1,0,1,1,,,4
C1,1,Inverno,Lago,Malhadeira,1,0,0,0,,,
C1,1,Inverno,Lago,Miqueira,4,0,3,0,,,
C1,1,Verão,Enseada,Miqueira,4P1,1P1,5P3,1P1,,,
C1,1,Verão,Enseada,Malhadeira,3,3,7,1,,,
C1,1,Verão,Enseada,Malhadeira,3,1,2,0,,,
C1,1,Defeso,Igarapé,Malhadeira,0,0,0,0,,,
C1,1,Defeso,Igarapé,Malhadeira,0,0,0,0,,,
C1,1,Defeso,Igarapé,Tarrafa,0,1,1,0,,,
C1,1,Defeso,Enseada,Malhadeira,0,0,1,0,,,
C1,1,Defeso,Enseada,Malhadeira,0,0,0,0,,,
C1,1,Defeso,Lago,Tarrafa,1J1,0,1J1,0,,,
C1,1,Defeso,Rio,Miqueira,0,1,0,0,,,
C2,1,Inverno,Enseada,Malhadeira,2,0,2,0,,,
C2,1,Inverno,Enseada,Miqueira,1,0,0,0,,,
C2,1,Inverno,Igarapé,Miqueira,1,0,2,0,,,
C2,1,Inverno,Igarapé,Miqueira,3,1,3,0,,,
C2,1,Verão,Lago,Miqueira,1,0,0,0,,,
C2,1,Verão,Lago,Miqueira,3,0,2,0,,,
C2,1,Verão,Lago,Malhadeira,2,0,4,1,,,
C2,1,Verão,Rio,Miqueira,1,0,2,2,,,
C2,1,Verão,Rio,Malhadeira,5,3,3,0,,,
C2,1,Verão,Rio,Malhadeira,7,0,1,0,,,
C2,1,Defeso,Enseada,Miqueira,3,0,0,0,,,
C2,1,Defeso,Enseada,Miqueira,1,0,0,0,,,
C2,1,Defeso,Enseada,Malhadeira,5,0,3,0,,,
C2,1,Defeso,Enseada,Malhadeira,1,0,1P1,0,,,
C2,1,Defeso,Rio,Malhadeira,2,0,1,0,,,
C2,1,Defeso,Rio,Malhadeira,1,0,2,0,,,
C2,1,Defeso,Rio,Malhadeira,1,0,2,0,,,
C2,1,Defeso,Rio,Miqueira,0,2D2,0,0,,,
C3,1,Inverno,Igarapé,Miqueira,1,0,0,0,,,
C3,1,Inverno,Igarapé,Malhadeira,0,0,0,0,,,
C3,1,Verão,Rio,Miqueira,2,0,3,0,,,
C3,1,Verão,Rio,Malhadeira,2,0,2,0,,,
C3,1,Verão,Lago,Miqueira,3J3,1J1,0,1J1,,,
C3,1,Verão,Lago,Miqueira,2,3,1,1,,,
C3,1,Defeso,Rio,Miqueira,2B2,0,0,1,,,
C3,1,Defeso,Rio,Miqueira,2,0,2,1,,,
C3,1,Defeso,Lago,Miqueira,1J1,0,1J1,0,,,
C3,1,Defeso,Lago,Miqueira,0,0,2,1,,,
C3,1,Defeso,Lago,Malhadeira,3,0,1,0,,,
C4,1,Inverno,Enseada,Miqueira,0,0,1,0,,,
C4,1,Inverno,Rio,Tarrafa,0,0,0,0,,,
C4,1,Inverno,Lago,Malhadeira,0,0,1,0,,,
C4,1,Inverno,Lago,Malhadeira,1,0,1,0,,,
C4,1,Verão,Poço,Miqueira,1,0,2,1,,,
C4,1,Verão,Poço,Malhadeira,10J10,2J2,7J7,1J1,,,
C4,1,Verão,Poço,Malhadeira,2J2,1J1,3J3,0,,,
C4,1,Verão,Poço,Tarrafa,1,1,0,1,,,
C4,1,Defeso,Enseada,Miqueira,4,0,0,0,,,
C4,1,Defeso,Enseada,Malhadeira,3,1D1,4,1D1,,,
C4,1,Defeso,Enseada,Tarrafa,1,0,1,1D1,,,
C4,1,Defeso,Igarapé,Malhadeira,2,1D1,1,2D2,,,
C4,1,Defeso,Igarapé,Malhadeira,3,0,2,0,,,
C,Ano,Rodada,Lugar,Arreio,Escama,Escama val.,Liso,Liso val.,,,
C1,6,Inverno,Lago,Malhadeira,,,,,,,
C1,6,Inverno,Lago,Malhadeira,,,,,,,
C1,6,Inverno,Lago,Tarrafa,,,,,,,
C1,6,Verão,Lago,Malhadeira,,,,,,,
C1,6,Verão,Lago,Malhadeira,,,,,,,
C1,6,Verão,Lago,Tarrafa,,,,,,,
C1,6,Defeso,Lago,Tarrafa,,,,,,,
C2,6,Inverno,Igarapé,Malhadeira,,,,,,,
C2,6,Inverno,Igarapé,Malhadeira,,,,,,,
C2,6,Inverno,Rio,Miqueira,,,,,,,
C2,6,Inverno,Rio,Miqueira,,,,,,,
C2,6,Verão,Igarapé,Malhadeira,,,,,,,
C2,6,Verão,Igarapé,Malhadeira,,,,,,,
C2,6,Verão,Rio,Miqueira,,,,,,,
C2,6,Verão,Rio,Miqueira,,,,,,,
C2,6,Defeso,Rio,Malhadeira,,,,,,,
C2,6,Defeso,Rio,Malhadeira,,,,,,,
C3,6,Inverno,Lago,Malhadeira,,,,,,,
C3,6,Inverno,Lago,Tarrafa,,,,,,,
C3,6,Inverno,Lago,Miqueira,,,,,,,
C3,6,Verão,Lago,Miqueira,,,,,,,
C3,6,Verão,Lago,Miqueira,,,,,,,
C3,6,Verão,Lago,Tarrafa,,,,,,,
C3,6,Defeso,Lago,Tarrafa,,,,,,,
C3,6,Defeso,Rio,Malhadeira,,,,,,,
C4,6,Inverno,Poço,Tarrafa,,,,,,,
C4,6,Inverno,Rio,Malhadeira,,,,,,,
C4,6,Inverno,Rio,Malhadeira,,,,,,,
C4,6,Inverno,Igarapé,Miqueira,,,,,,,
C4,6,Verão,Igarapé,Miqueira,,,,,,,
C4,6,Verão,Rio,Malhadeira,,,,,,,
C4,6,Verão,Rio,Malhadeira,,,,,,,
C4,6,Verão,Lago,Tarrafa,,,,,,,
C4,6,Defeso,Lago,Tarrafa,,,,,,,
C4,6,Defeso,Rio,Malhadeira,,,,,,,
C4,6,Defeso,Rio,Malhadeira,,,,,,,
C4,6,Defeso,Rio,Miqueira,,,,,,,
